Date,Soil_Temperature (°C),Soil_Moisture (%),Air_Temperature (°C),Air_Humidity (%),Paddy_Growth_Stage,Recommended_Fertilizer,Quantity_kg_per_acre,Purpose,Sustainability_Note,Predicted_Yield_ton_per_ha,Cost_LKR_per_ha
08/04/2024,30.1,52.4,30.4,93,Flowering,Zinc Sulphate,10.5,Improves grain quality and resistance,Maintain irrigation schedule to avoid fertilizer runoff.,9.96,3150
31/08/2024,31,61.1,34.7,83,Seedling,Calcium Nitrate,16.2,Calcium and nitrate supply for strong stems,Prefer organic alternatives where possible.,10.34,3240
08/10/2024,33.2,74.2,28,93.3,Tillering,Compost Tea,20.9,Enhances microbial activity,Ensure soil testing before application.,11.3,1672
18/09/2024,25.7,61.4,35.4,61.1,Seedling,Ammonium Sulphate,25.1,Nitrogen and sulphur supply,Avoid chemical overuse; combine with compost.,10.1,3514
28/04/2024,23.3,61.7,35.6,87,Harvest,Organic Compost,14.3,Improves soil structure and moisture retention,Maintain irrigation schedule to avoid fertilizer runoff.,10.15,715
18/08/2024,28.3,70.9,31,69,Panicle Initiation,DAP,24.6,Phosphorus for root development,Ensure soil testing before application.,10.6,3690
11/09/2024,28.6,57.6,34,90.5,Seedling,DAP,22.2,Phosphorus for root development,Prefer organic alternatives where possible.,10.36,3330
22/12/2024,27.2,61.8,28.2,64.6,Harvest,Phosphate Rock,16,Slow-release phosphorus,Maintain irrigation schedule to avoid fertilizer runoff.,9.65,1440
22/04/2024,25.8,52.8,27.9,69.1,Seedling,Calcium Nitrate,15.7,Calcium and nitrate supply for strong stems,Ensure soil testing before application.,9.24,3140
02/07/2024,22.4,43.7,30.8,73,Panicle Initiation,Urea,20.1,Nitrogen boost for vegetative growth,Avoid chemical overuse; combine with compost.,9.27,2412
21/04/2024,22.3,72.4,34.8,74.8,Flowering,Boron,4.5,Micronutrient for flower formation,Maintain irrigation schedule to avoid fertilizer runoff.,10.12,2250
22/12/2024,28.7,26,32.3,76.7,Tillering,Urea,32.5,Nitrogen boost for vegetative growth,Prefer organic alternatives where possible.,9.22,3900
05/01/2024,27,40,34.4,71.8,Seedling,DAP,19.5,Phosphorus for root development,Prefer organic alternatives where possible.,9.34,2925
22/02/2024,30.5,72.6,28.6,73,Seedling,Ammonium Sulphate,23.3,Nitrogen and sulphur supply,Use split application to reduce leaching.,10.73,3262
17/10/2024,28.2,41.9,30.9,69.1,Tillering,MOP,22,Potassium for stem and disease resistance,Use split application to reduce leaching.,9.44,2860
06/11/2024,28.6,43.9,31.7,74.3,Panicle Initiation,Potash,22.6,Potassium for stress tolerance,Maintain irrigation schedule to avoid fertilizer runoff.,9.72,3616
28/06/2024,32.8,64.6,29.6,73.1,Tillering,MOP,19.4,Potassium for stem and disease resistance,Maintain irrigation schedule to avoid fertilizer runoff.,10.6,2522
13/11/2024,24.9,69,29.2,61.7,Flowering,Iron Chelate,9.1,Iron supply to prevent chlorosis,Prefer organic alternatives where possible.,9.96,4095
10/09/2024,29.1,51.4,29.5,87.7,Tillering,Compost Tea,20.6,Enhances microbial activity,Use split application to reduce leaching.,10.2,1648
19/01/2024,26.8,31.2,30.1,71.4,Panicle Initiation,Potash,22.7,Potassium for stress tolerance,Use split application to reduce leaching.,8.8,3632
06/07/2024,30.2,42.8,32.1,81.4,Flowering,Zinc Sulphate,10.3,Improves grain quality and resistance,Avoid chemical overuse; combine with compost.,9.38,3090
08/03/2024,31,49.4,30.5,63.4,Tillering,Compost Tea,18.2,Enhances microbial activity,Use split application to reduce leaching.,9.56,1456
12/05/2024,25.2,34.8,28.4,64.1,Tillering,MOP,18.8,Potassium for stem and disease resistance,Use split application to reduce leaching.,8.61,2444
27/06/2024,22.6,34.5,32.3,81.6,Flowering,Iron Chelate,8.6,Iron supply to prevent chlorosis,Use split application to reduce leaching.,8.9,3870
23/05/2024,24.8,53.5,31.6,82.9,Seedling,Calcium Nitrate,15.4,Calcium and nitrate supply for strong stems,Use split application to reduce leaching.,9.74,3080
09/03/2024,24.4,25.6,29.6,86,Seedling,Urea,21.6,Nitrogen boost for vegetative growth,Maintain irrigation schedule to avoid fertilizer runoff.,8.78,2592
09/01/2024,33.8,48.7,30.3,60.2,Panicle Initiation,DAP,26.5,Phosphorus for root development,Maintain irrigation schedule to avoid fertilizer runoff.,9.92,3975
27/12/2024,23.9,26.6,33.7,93.4,Seedling,Calcium Nitrate,20.5,Calcium and nitrate supply for strong stems,Avoid chemical overuse; combine with compost.,9,4100
12/11/2024,30.6,56.9,30.2,72.9,Panicle Initiation,Humic Acid,16.7,Soil conditioner and nutrient uptake,Avoid chemical overuse; combine with compost.,10.14,3674
15/09/2024,26,38.9,30.3,72,Seedling,Calcium Nitrate,19.8,Calcium and nitrate supply for strong stems,Use split application to reduce leaching.,9.16,3960
26/11/2024,33.3,30.1,30.3,60.7,Harvest,Organic Compost,17,Improves soil structure and moisture retention,Maintain irrigation schedule to avoid fertilizer runoff.,8.65,850
10/02/2024,31.3,31.4,27,70.8,Seedling,Calcium Nitrate,15.5,Calcium and nitrate supply for strong stems,Avoid chemical overuse; combine with compost.,8.96,3100
08/01/2024,25.6,72.9,31.4,60.5,Panicle Initiation,DAP,21.6,Phosphorus for root development,Maintain irrigation schedule to avoid fertilizer runoff.,10.35,3240
20/05/2024,33.8,72.5,31.2,68.6,Flowering,Copper Sulphate,6,Micronutrient for enzyme activation,Use split application to reduce leaching.,10.49,2400
25/02/2024,31.9,47.6,31,76.8,Panicle Initiation,Potash,20.4,Potassium for stress tolerance,Maintain irrigation schedule to avoid fertilizer runoff.,9.82,3264
02/01/2024,32.3,35.3,35.6,78.8,Tillering,Compost Tea,20.8,Enhances microbial activity,Use split application to reduce leaching.,9.68,1664
10/12/2024,23.6,66,31.8,68.8,Seedling,DAP,18.1,Phosphorus for root development,Avoid chemical overuse; combine with compost.,9.82,2715
28/08/2024,25.4,57.9,32.5,64.5,Flowering,Boron,5.2,Micronutrient for flower formation,Prefer organic alternatives where possible.,9.45,2600
13/12/2024,34,50.8,30,65.6,Seedling,Magnesium Sulphate,14,Magnesium for chlorophyll synthesis,Avoid chemical overuse; combine with compost.,9.81,2520
19/08/2024,24.5,43.2,33.8,82,Seedling,Magnesium Sulphate,16.7,Magnesium for chlorophyll synthesis,Maintain irrigation schedule to avoid fertilizer runoff.,9.4,3006
13/06/2024,25.3,30.1,32.2,77.6,Flowering,Boron,4.4,Micronutrient for flower formation,Maintain irrigation schedule to avoid fertilizer runoff.,8.64,2200
11/09/2024,26.8,51,27.6,63.1,Seedling,Ammonium Sulphate,23.7,Nitrogen and sulphur supply,Use split application to reduce leaching.,9.48,3318
18/12/2024,26.7,64.6,35.7,91.2,Panicle Initiation,Seaweed Extract,8.8,Growth stimulant and micronutrients,Avoid chemical overuse; combine with compost.,10.39,2200
11/07/2024,23.3,54.9,29.1,86.2,Flowering,Zinc Sulphate,11.5,Improves grain quality and resistance,Avoid chemical overuse; combine with compost.,9.88,3450
20/09/2024,32.7,30.5,27.7,82.5,Seedling,Calcium Nitrate,17.7,Calcium and nitrate supply for strong stems,Avoid chemical overuse; combine with compost.,9.35,3540
18/11/2024,25.9,26.9,35.1,76.1,Seedling,Urea,21.6,Nitrogen boost for vegetative growth,Prefer organic alternatives where possible.,8.92,2592
26/05/2024,28.8,43.9,26.9,81.6,Seedling,Ammonium Sulphate,23.2,Nitrogen and sulphur supply,Ensure soil testing before application.,9.41,3248
28/01/2024,27.3,26.2,32.5,87.2,Flowering,Boron,5.3,Micronutrient for flower formation,Ensure soil testing before application.,8.68,2650
27/04/2024,28.4,42.1,34.9,94.3,Panicle Initiation,Urea,22.9,Nitrogen boost for vegetative growth,Use split application to reduce leaching.,9.87,2748
07/07/2024,33.1,38.4,29.9,67.4,Panicle Initiation,Urea,19.8,Nitrogen boost for vegetative growth,Ensure soil testing before application.,9.25,2376
23/04/2024,29.8,44.7,31.8,87.4,Harvest,Phosphate Rock,18.2,Slow-release phosphorus,Maintain irrigation schedule to avoid fertilizer runoff.,10.01,1638
24/11/2024,33.5,74.5,32.1,83.7,Harvest,Phosphate Rock,19.9,Slow-release phosphorus,Prefer organic alternatives where possible.,11.36,1791
31/01/2024,33.7,34.7,28.5,82.2,Tillering,Compost Tea,22.9,Enhances microbial activity,Ensure soil testing before application.,9.67,1832
22/12/2024,22.3,71.6,28.3,79.5,Tillering,Compost Tea,17.9,Enhances microbial activity,Maintain irrigation schedule to avoid fertilizer runoff.,10.4,1432
08/04/2024,25.9,52.5,29.6,64.1,Seedling,Urea,23.7,Nitrogen boost for vegetative growth,Prefer organic alternatives where possible.,9.65,2844
19/02/2024,33,31.7,28.5,91.9,Panicle Initiation,Urea,20.4,Nitrogen boost for vegetative growth,Prefer organic alternatives where possible.,9.55,2448
06/03/2024,31.8,74.2,31.6,81.9,Panicle Initiation,Potash,19.6,Potassium for stress tolerance,Ensure soil testing before application.,11.14,3136
09/06/2024,26.4,74.7,29,73.4,Panicle Initiation,Seaweed Extract,10.3,Growth stimulant and micronutrients,Ensure soil testing before application.,10.38,2575
22/10/2024,27,35,33.5,85,Harvest,Organic Compost,14.9,Improves soil structure and moisture retention,Prefer organic alternatives where possible.,9.39,745
21/02/2024,24.2,37.7,27.8,84.8,Tillering,Organic Compost,29.9,Improves soil structure and moisture retention,Use split application to reduce leaching.,9.25,1495
22/11/2024,30.5,49.6,26.8,61.7,Flowering,MOP,28.5,Potassium for stem and disease resistance,Prefer organic alternatives where possible.,9.66,3705
28/05/2024,29.3,28.1,34.8,89.7,Flowering,Copper Sulphate,6.7,Micronutrient for enzyme activation,Ensure soil testing before application.,9.15,2680
23/01/2024,24.4,67.3,33.5,94.9,Tillering,Organic Compost,30.1,Improves soil structure and moisture retention,Use split application to reduce leaching.,11.02,1505
03/10/2024,32.3,30.1,30.7,92.1,Tillering,Compost Tea,19.4,Enhances microbial activity,Prefer organic alternatives where possible.,9.33,1552
10/10/2024,29.8,68,34.2,93.7,Tillering,Urea,30.1,Nitrogen boost for vegetative growth,Avoid chemical overuse; combine with compost.,11.32,3612
11/12/2024,30.7,27.1,27.3,61.4,Harvest,Phosphate Rock,16,Slow-release phosphorus,Avoid chemical overuse; combine with compost.,8.69,1440
17/05/2024,25.4,37.1,35.9,60.8,Harvest,Green Manure,22,Nitrogen enrichment from legumes,Avoid chemical overuse; combine with compost.,9.14,660
07/05/2024,26.8,72.7,31.9,68,Tillering,Biochar,24.4,Improves soil fertility and carbon retention,Avoid chemical overuse; combine with compost.,10.48,2440
30/01/2024,27.4,28.6,34.1,68.6,Tillering,Organic Compost,28.6,Improves soil structure and moisture retention,Maintain irrigation schedule to avoid fertilizer runoff.,8.82,1430
14/04/2024,31.2,38.5,32.9,92,Seedling,Calcium Nitrate,15.5,Calcium and nitrate supply for strong stems,Prefer organic alternatives where possible.,9.79,3100
12/12/2024,25.6,64.2,35.8,74,Seedling,Urea,21.3,Nitrogen boost for vegetative growth,Prefer organic alternatives where possible.,10.51,2556
30/09/2024,29.3,31.9,33,60.4,Flowering,MOP,22.5,Potassium for stem and disease resistance,Use split application to reduce leaching.,8.94,2925
16/11/2024,33.7,57.2,33.8,68.1,Harvest,Green Manure,22.6,Nitrogen enrichment from legumes,Maintain irrigation schedule to avoid fertilizer runoff.,10.34,678
28/09/2024,22.8,47.3,36,81.3,Panicle Initiation,Urea,17.6,Nitrogen boost for vegetative growth,Prefer organic alternatives where possible.,9.73,2112
18/02/2024,23.1,69.2,28.2,82.3,Seedling,DAP,20.7,Phosphorus for root development,Avoid chemical overuse; combine with compost.,10.43,3105
04/03/2024,26.7,59.6,28.2,73.1,Tillering,Urea,31.6,Nitrogen boost for vegetative growth,Maintain irrigation schedule to avoid fertilizer runoff.,10.03,3792
13/06/2024,29.7,53.1,35.9,69.1,Harvest,Green Manure,17.4,Nitrogen enrichment from legumes,Avoid chemical overuse; combine with compost.,10.01,522
21/11/2024,30.3,35.7,31,81.3,Tillering,Urea,36.1,Nitrogen boost for vegetative growth,Prefer organic alternatives where possible.,9.79,4332
14/04/2024,22.2,74.6,30.4,75.6,Flowering,MOP,23.8,Potassium for stem and disease resistance,Ensure soil testing before application.,10.38,3094
06/01/2024,31.9,44.2,30.4,68.2,Tillering,Organic Compost,27.9,Improves soil structure and moisture retention,Prefer organic alternatives where possible.,9.7,1395
16/03/2024,31.3,48.6,28.6,93,Flowering,MOP,27,Potassium for stem and disease resistance,Prefer organic alternatives where possible.,10.29,3510
11/10/2024,23.5,43.8,26.3,89.4,Panicle Initiation,Humic Acid,15.8,Soil conditioner and nutrient uptake,Prefer organic alternatives where possible.,9.16,3476
24/03/2024,26.4,29.8,31.5,66.9,Harvest,Organic Compost,12.8,Improves soil structure and moisture retention,Prefer organic alternatives where possible.,8.62,640
28/06/2024,23.3,32.3,31.9,61.1,Panicle Initiation,DAP,22.3,Phosphorus for root development,Avoid chemical overuse; combine with compost.,8.47,3345
02/11/2024,25.6,40.5,35.2,79,Flowering,MOP,24.2,Potassium for stem and disease resistance,Avoid chemical overuse; combine with compost.,9.7,3146
01/02/2024,25.7,30.4,28.9,91.1,Flowering,Zinc Sulphate,10.8,Improves grain quality and resistance,Maintain irrigation schedule to avoid fertilizer runoff.,9.04,3240
13/06/2024,33.3,36.3,29.9,67.1,Tillering,Compost Tea,22.5,Enhances microbial activity,Ensure soil testing before application.,9.46,1800
17/06/2024,23.6,27.5,33.1,67.5,Tillering,Organic Compost,31.2,Improves soil structure and moisture retention,Ensure soil testing before application.,8.73,1560
16/12/2024,24,72.9,32.4,90.1,Flowering,Copper Sulphate,6.9,Micronutrient for enzyme activation,Maintain irrigation schedule to avoid fertilizer runoff.,10.59,2760
07/06/2024,31.7,58.8,27.8,82.3,Flowering,Boron,5.1,Micronutrient for flower formation,Ensure soil testing before application.,10.09,2550
16/08/2024,26.7,26.9,35.4,85,Tillering,Organic Compost,26.6,Improves soil structure and moisture retention,Ensure soil testing before application.,9.11,1330
16/05/2024,30.7,63.3,28.8,93.8,Tillering,Biochar,23.9,Improves soil fertility and carbon retention,Ensure soil testing before application.,10.97,2390
10/03/2024,23.6,44.3,33,63.9,Seedling,DAP,17.9,Phosphorus for root development,Prefer organic alternatives where possible.,8.97,2685
03/04/2024,29,59.4,30.2,62.3,Harvest,Green Manure,17.2,Nitrogen enrichment from legumes,Use split application to reduce leaching.,9.91,516
01/08/2024,22.7,57.4,29.1,67.1,Panicle Initiation,DAP,27.1,Phosphorus for root development,Avoid chemical overuse; combine with compost.,9.75,4065
05/12/2024,32.4,64.7,27,81.1,Panicle Initiation,Humic Acid,16.4,Soil conditioner and nutrient uptake,Ensure soil testing before application.,10.31,3608
06/03/2024,31.3,47.4,32.9,61.5,Panicle Initiation,Potash,19.8,Potassium for stress tolerance,Avoid chemical overuse; combine with compost.,9.44,3168
29/10/2024,23.4,47.7,27.4,89.1,Seedling,Ammonium Sulphate,20.5,Nitrogen and sulphur supply,Prefer organic alternatives where possible.,9.44,2870
13/03/2024,26.4,42.1,30.3,64.3,Tillering,Biochar,25,Improves soil fertility and carbon retention,Prefer organic alternatives where possible.,9.39,2500
01/08/2024,22.8,27.4,31.7,72.3,Panicle Initiation,Potash,19.2,Potassium for stress tolerance,Maintain irrigation schedule to avoid fertilizer runoff.,8.46,3072
17/08/2024,27.7,51.7,33.6,90.6,Panicle Initiation,Potash,24.9,Potassium for stress tolerance,Ensure soil testing before application.,10.12,3984
02/05/2024,30.7,32.5,27.7,79.9,Seedling,DAP,17.6,Phosphorus for root development,Maintain irrigation schedule to avoid fertilizer runoff.,9.12,2640
28/01/2024,31.3,30.7,32,84.2,Harvest,Green Manure,20.6,Nitrogen enrichment from legumes,Use split application to reduce leaching.,9.42,618
29/04/2024,23.4,33,28,74.8,Tillering,Compost Tea,17.5,Enhances microbial activity,Avoid chemical overuse; combine with compost.,8.84,1400
06/06/2024,24.3,63.9,29.4,65.5,Flowering,MOP,27.6,Potassium for stem and disease resistance,Maintain irrigation schedule to avoid fertilizer runoff.,10.16,3588
14/02/2024,26.6,38.9,32.4,65.7,Flowering,MOP,22.8,Potassium for stem and disease resistance,Ensure soil testing before application.,9.24,2964
22/09/2024,26.6,56.1,34.7,64.9,Flowering,MOP,24.4,Potassium for stem and disease resistance,Prefer organic alternatives where possible.,9.99,3172
18/12/2024,26.6,71,31.2,87.2,Seedling,Urea,27.7,Nitrogen boost for vegetative growth,Avoid chemical overuse; combine with compost.,10.72,3324
23/09/2024,24.6,70.9,30.8,62.9,Tillering,Organic Compost,28,Improves soil structure and moisture retention,Avoid chemical overuse; combine with compost.,10.38,1400
06/01/2024,31.7,53.3,26.6,86.1,Panicle Initiation,Humic Acid,16.2,Soil conditioner and nutrient uptake,Prefer organic alternatives where possible.,9.95,3564
11/06/2024,28,49.4,26.5,76.9,Harvest,Green Manure,17.8,Nitrogen enrichment from legumes,Maintain irrigation schedule to avoid fertilizer runoff.,9.76,534
06/06/2024,29.3,37.4,35.1,66.7,Seedling,Urea,26.7,Nitrogen boost for vegetative growth,Use split application to reduce leaching.,9.37,3204
13/04/2024,28.7,51.2,30.6,64.7,Seedling,Calcium Nitrate,20,Calcium and nitrate supply for strong stems,Prefer organic alternatives where possible.,9.79,4000
24/09/2024,22.6,28.9,27.1,65.8,Tillering,Biochar,28.3,Improves soil fertility and carbon retention,Prefer organic alternatives where possible.,8.52,2830
24/03/2024,30.4,72.1,30.6,88,Panicle Initiation,Urea,19.5,Nitrogen boost for vegetative growth,Maintain irrigation schedule to avoid fertilizer runoff.,10.97,2340
07/05/2024,22.2,35.4,32.2,88.8,Flowering,Copper Sulphate,7,Micronutrient for enzyme activation,Ensure soil testing before application.,8.81,2800
25/05/2024,26.6,60.1,35.3,65.3,Panicle Initiation,Humic Acid,17,Soil conditioner and nutrient uptake,Use split application to reduce leaching.,10.1,3740
05/11/2024,24.2,68.8,29.6,87.7,Tillering,Biochar,24.1,Improves soil fertility and carbon retention,Ensure soil testing before application.,10.4,2410
05/11/2024,29.1,67,34.4,63.3,Panicle Initiation,DAP,23.9,Phosphorus for root development,Use split application to reduce leaching.,10.56,3585
